,num_attacks,country
0,12731,Afghanistan
1,80,Albania
2,2743,Algeria
3,1,Andorra
4,499,Angola
5,1,Antigua and Barbuda
6,815,Argentina
7,24,Armenia
8,114,Australia
9,115,Austria
10,49,Azerbaijan
11,5,Bahamas
12,207,Bahrain
13,1648,Bangladesh
14,3,Barbados
15,13,Belarus
16,154,Belgium
17,8,Belize
18,8,Benin
19,6,Bhutan
20,314,Bolivia
21,159,Bosnia-Herzegovina
22,10,Botswana
23,273,Brazil
24,6,Brunei
25,52,Bulgaria
26,52,Burkina Faso
27,613,Burundi
28,259,Cambodia
29,332,Cameroon
30,96,Canada
31,283,Central African Republic
32,91,Chad
33,2365,Chile
34,252,China
35,8306,Colombia
36,5,Comoros
37,67,Costa Rica
38,57,Croatia
39,30,Cuba
40,132,Cyprus
41,32,Czech Republic
42,10,Czechoslovakia
43,775,Democratic Republic of the Congo
44,41,Denmark
45,22,Djibouti
46,3,Dominica
47,90,Dominican Republic
48,38,East Germany (GDR)
49,10,East Timor
50,220,Ecuador
51,2479,Egypt
52,5320,El Salvador
53,2,Equatorial Guinea
54,10,Eritrea
55,16,Estonia
56,190,Ethiopia
57,1,Falkland Islands
58,17,Fiji
59,20,Finland
60,2693,France
61,7,French Guiana
62,3,French Polynesia
63,8,Gabon
64,3,Gambia
65,217,Georgia
66,735,Germany
67,19,Ghana
68,1275,Greece
69,5,Grenada
70,56,Guadeloupe
71,2050,Guatemala
72,25,Guinea
73,9,Guinea-Bissau
74,26,Guyana
75,213,Haiti
76,323,Honduras
77,26,Hong Kong
78,46,Hungary
79,4,Iceland
80,11960,India
81,761,Indonesia
82,1,International
83,684,Iran
84,24636,Iraq
85,307,Ireland
86,2183,Israel
87,1565,Italy
88,74,Ivory Coast
89,36,Jamaica
90,402,Japan
91,113,Jordan
92,27,Kazakhstan
93,683,Kenya
94,196,Kosovo
95,76,Kuwait
96,35,Kyrgyzstan
97,27,Laos
98,17,Latvia
99,2478,Lebanon
100,29,Lesotho
101,34,Liberia
102,2249,Libya
103,8,Lithuania
104,16,Luxembourg
105,33,Macau
106,118,Macedonia
107,27,Madagascar
108,5,Malawi
109,99,Malaysia
110,22,Maldives
111,566,Mali
112,23,Malta
113,12,Martinique
114,18,Mauritania
115,2,Mauritius
116,524,Mexico
117,21,Moldova
118,5,Montenegro
119,36,Morocco
120,363,Mozambique
121,546,Myanmar
122,151,Namibia
123,1215,Nepal
124,130,Netherlands
125,31,New Caledonia
126,1,New Hebrides
127,20,New Zealand
128,1970,Nicaragua
129,154,Niger
130,3907,Nigeria
131,1,North Korea
132,6,North Yemen
133,19,Norway
134,14368,Pakistan
135,127,Panama
136,89,Papua New Guinea
137,114,Paraguay
138,4,People's Republic of the Congo
139,6096,Peru
140,6908,Philippines
141,39,Poland
142,140,Portugal
143,7,Qatar
144,36,Republic of the Congo
145,83,Rhodesia
146,6,Romania
147,2194,Russia
148,159,Rwanda
149,371,Saudi Arabia
150,118,Senegal
151,12,Serbia
152,11,Serbia-Montenegro
153,2,Seychelles
154,101,Sierra Leone
155,7,Singapore
156,18,Slovak Republic
157,6,Slovenia
158,4,Solomon Islands
159,4142,Somalia
160,2016,South Africa
161,38,South Korea
162,225,South Sudan
163,1,South Vietnam
164,2,South Yemen
165,78,Soviet Union
166,3249,Spain
167,3022,Sri Lanka
168,2,St. Kitts and Nevis
169,1,St. Lucia
170,967,Sudan
171,66,Suriname
172,16,Swaziland
173,132,Sweden
174,111,Switzerland
175,2201,Syria
176,50,Taiwan
177,188,Tajikistan
178,59,Tanzania
179,3849,Thailand
180,48,Togo
181,22,Trinidad and Tobago
182,109,Tunisia
183,4292,Turkey
184,2,Turkmenistan
185,394,Uganda
186,1709,Ukraine
187,22,United Arab Emirates
188,5235,United Kingdom
189,2836,United States
190,82,Uruguay
191,21,Uzbekistan
192,2,Vanuatu
193,1,Vatican City
194,293,Venezuela
195,12,Vietnam
196,1,Wallis and Futuna
197,2227,West Bank and Gaza Strip
198,541,West Germany (FRG)
199,5,Western Sahara
200,3347,Yemen
201,203,Yugoslavia
202,50,Zaire
203,62,Zambia
204,101,Zimbabwe
